img,original_class,predicted_class,num_iterations,confidence
79,3,7,5,0.6110523343086243
80,4,6,1,0.49393942952156067
81,4,6,6,0.7794904708862305
82,4,1,4,0.949066698551178
83,4,9,1,0.7207496166229248
84,4,6,2,0.7910822033882141
85,4,6,2,0.6218628287315369
86,4,7,3,0.5025432109832764
87,4,6,8,0.628768801689148
88,4,6,4,0.7090750932693481
89,4,6,8,0.5203422904014587
90,4,6,8,0.5160530209541321
91,4,6,2,0.5515946745872498
92,4,6,5,0.6528101563453674
93,4,6,6,0.577215313911438
94,4,0,4,0.509054958820343
95,4,6,6,0.6113401055335999
96,4,6,4,0.6143775582313538
97,4,1,7,0.3777458071708679
98,4,6,7,0.7713927030563354
99,4,6,2,0.8853672742843628
100,5,3,1,0.541935384273529
101,5,9,3,0.6099283695220947
102,5,5,99,0.4332607686519623
103,5,6,5,0.7040626406669617
104,5,5,99,0.4332607686519623
105,5,5,99,0.4332607686519623
106,5,3,2,0.6722602844238281
107,5,6,5,0.5894582867622375
108,5,6,9,0.4305036962032318
109,5,3,3,0.48642265796661377
110,5,3,2,0.7318461537361145
111,5,3,10,0.7000640630722046
112,5,6,2,0.4869505763053894
113,5,6,10,0.37874355912208557
114,5,3,10,0.7730051875114441
115,5,9,5,0.659713089466095
116,5,6,2,0.7286190986633301
117,5,3,3,0.5170382261276245
118,5,6,16,0.8135935664176941
119,5,5,99,0.4332607686519623
120,6,4,5,0.47891756892204285
121,6,0,10,0.4510103762149811
122,6,2,5,0.51558917760849
123,6,5,17,0.3493807017803192
124,6,4,6,0.4649806022644043
125,6,8,3,0.5185016989707947
126,6,3,4,0.35075005888938904
127,6,5,12,0.2534877359867096
128,6,5,13,0.3572158217430115
129,6,4,3,0.8713089823722839
130,6,4,17,0.7068793773651123
131,6,4,11,0.6732103824615479
132,6,4,8,0.8484401702880859
133,6,5,16,0.26912233233451843
134,6,4,6,0.49731406569480896
135,6,0,23,0.4349818229675293
136,6,4,5,0.6407881379127502
137,6,5,2,0.6307002305984497
138,6,5,14,0.3327624499797821
139,6,8,7,0.18626420199871063
140,7,1,5,0.5380370020866394
141,7,3,3,0.7875957489013672
142,7,3,4,0.7346823811531067
143,7,5,13,0.22578981518745422
144,7,6,9,0.34518975019454956
145,7,8,0,0.962701141834259
146,7,1,3,0.5225242376327515
147,7,4,13,0.3228081464767456
148,7,3,7,0.47077590227127075
149,7,8,14,0.29132944345474243
150,7,8,5,0.3367026150226593
151,7,1,6,0.7164916396141052
152,7,1,8,0.6090964674949646
153,7,6,7,0.4185515344142914
154,7,5,11,0.2581516206264496
155,7,4,6,0.7171228528022766
156,7,1,22,0.4182344973087311
157,7,1,3,0.6118281483650208
158,7,2,10,0.2883296608924866
159,7,1,11,0.4892488420009613
160,8,2,4,0.904263973236084
161,8,5,9,0.3541472554206848
162,8,2,3,0.4946768283843994
163,8,1,3,0.6876553297042847
164,8,9,5,0.7800323963165283
165,8,6,11,0.3668190538883209
166,8,9,3,0.8159254789352417
167,8,2,3,0.5959352254867554
168,8,2,2,0.5346965193748474
169,8,2,6,0.8153650164604187
170,8,6,3,0.898356020450592
171,8,2,5,0.7076263427734375
172,8,3,6,0.5918490290641785
173,8,2,2,0.7081093192100525
174,8,2,8,0.5541127324104309
175,8,9,8,0.5491215586662292
176,8,6,8,0.3509967625141144
177,8,3,5,0.5541002750396729
178,8,9,8,0.4837188720703125
179,9,4,4,0.7212201952934265
180,9,5,3,0.522267758846283
181,9,8,2,0.7635730504989624
182,9,3,6,0.4948360323905945
183,9,8,4,0.5213696956634521
184,9,3,8,0.5396251678466797
185,9,8,5,0.48516181111335754
186,9,5,6,0.7651167511940002
187,9,8,8,0.57781583070755
188,9,4,1,0.5790372490882874
189,9,7,4,0.5365581512451172
190,9,3,4,0.6206060647964478
191,9,8,9,0.6012557148933411
192,9,8,6,0.6117933988571167
193,9,4,5,0.5706559419631958
194,9,3,7,0.7505685687065125
195,9,8,5,0.9192435145378113
196,9,5,2,0.8995927572250366
197,9,3,6,0.5582232475280762
198,9,1,6,0.5576241612434387
199,0,6,8,0.5202001929283142
200,0,4,6,0.7147906422615051
201,0,6,9,0.4964982569217682
202,0,6,8,0.45885148644447327
203,0,4,7,0.6043955087661743
204,0,6,6,0.44795462489128113
205,0,6,10,0.450954407453537
206,0,9,5,0.9428640604019165
207,0,6,9,0.5000923871994019
208,0,6,9,0.5069462060928345
209,0,4,4,0.6663022041320801
210,0,4,6,0.5188447833061218
211,0,6,6,0.536662220954895
212,0,4,9,0.5018832683563232
213,0,4,5,0.5133529901504517
214,0,6,8,0.5867272019386292
215,0,6,9,0.5282463431358337
216,0,6,8,0.5664067268371582
217,0,6,3,0.5683091282844543
218,0,6,4,0.48733678460121155
219,1,4,2,0.44752761721611023
220,1,7,7,0.39693212509155273
221,1,7,4,0.42116647958755493
222,1,7,8,0.43854257464408875
223,1,7,15,0.2713660001754761
224,1,4,7,0.3825746476650238
225,1,4,4,0.47224000096321106
226,1,7,7,0.3387521207332611
227,1,4,4,0.8021174073219299
228,1,7,5,0.5519949197769165
229,1,9,2,0.5577787756919861
230,1,9,9,0.3874950408935547
231,1,4,8,0.5940181612968445
232,1,7,4,0.523937463760376
233,1,7,4,0.7473223209381104
234,1,4,4,0.7592994570732117
235,1,4,5,0.7015542387962341
236,1,7,5,0.6712610721588135
237,1,7,3,0.4471776783466339
238,1,4,5,0.8995203375816345
239,2,8,4,0.8462890982627869
240,2,7,3,0.6983391046524048
241,2,8,2,0.7005137801170349
242,2,6,7,0.512511134147644
243,2,6,12,0.521095871925354
244,2,6,4,0.5329222679138184
245,2,1,3,0.6073599457740784
246,2,7,5,0.5121595859527588
247,2,8,3,0.6291286945343018
248,2,8,4,0.9037234783172607
249,2,8,5,0.7504847049713135
250,2,4,4,0.8220076560974121
251,2,6,5,0.5711498260498047
252,2,8,3,0.7568839192390442
253,2,1,6,0.5030896067619324
254,2,7,6,0.6470555663108826
255,2,8,0,0.5562004446983337
256,2,8,3,0.6220973134040833
257,2,7,3,0.8098231554031372
258,2,1,3,0.8505353331565857
259,3,7,4,0.5308453440666199
260,3,8,10,0.27294886112213135
261,3,7,8,0.6609699726104736
262,3,9,7,0.4034285247325897
263,3,5,11,0.2959551215171814
264,3,5,3,0.48640918731689453
265,3,8,5,0.38062992691993713
266,3,5,14,0.3626338243484497
267,3,7,3,0.6295565366744995
268,3,7,5,0.8441765904426575
269,3,8,7,0.37394240498542786
270,3,5,5,0.6821107864379883
271,3,8,2,0.5840293765068054
272,3,7,7,0.8112464547157288
273,3,8,3,0.8668244481086731
274,3,7,9,0.5835108757019043
275,3,8,4,0.7121623754501343
276,3,9,8,0.4254896640777588
277,3,7,13,0.5849276185035706
278,3,9,8,0.49368157982826233
279,4,6,0,0.6470304727554321
280,4,6,8,0.7242100834846497
281,4,1,2,0.7122265100479126
282,4,6,10,0.7035660147666931
283,4,6,7,0.7402871251106262
284,4,6,2,0.7521630525588989
285,4,7,3,0.5359687209129333
286,4,6,1,0.7560352087020874
287,4,5,7,0.7066763639450073
288,4,6,9,0.7246174812316895
289,4,9,2,0.9084834456443787
290,4,6,10,0.5793658494949341
291,4,6,10,0.7127513885498047
292,4,6,9,0.6786284446716309
293,4,6,10,0.5564991235733032
294,4,6,6,0.7488527297973633
295,4,6,8,0.6572311520576477
296,4,6,5,0.6158165335655212
297,4,6,8,0.7403213381767273
298,4,6,11,0.6220017671585083
299,5,9,5,0.8987551927566528
300,5,5,99,0.4332607686519623
301,5,3,4,0.5631082653999329
302,5,3,9,0.4105710983276367
303,5,6,1,0.5063478946685791
304,5,5,99,0.4332607686519623
305,5,5,99,0.4332607686519623
306,5,5,99,0.4332607686519623
307,5,3,2,0.7193893194198608
308,5,6,13,0.5615808367729187
309,5,3,6,0.5175427198410034
310,5,6,10,0.4506097137928009
311,5,8,2,0.35523721575737
312,5,5,99,0.4332607686519623
313,5,3,2,0.8531882166862488
314,5,3,5,0.8195709586143494
315,5,6,1,0.4284430742263794
316,5,9,3,0.8351246118545532
317,5,6,8,0.5470321178436279
318,5,6,5,0.6669210195541382
319,6,5,11,0.28550779819488525
320,6,0,5,0.31029170751571655
321,6,5,10,0.36344391107559204
322,6,4,7,0.5460478067398071
323,6,5,12,0.5070329308509827
324,6,7,2,0.900080680847168
325,6,8,9,0.20719993114471436
326,6,4,6,0.5810357928276062
327,6,0,6,0.7087143063545227
328,6,5,14,0.1802712380886078
329,6,5,15,0.4189693331718445
330,6,5,10,0.36122411489486694
331,6,4,6,0.5623688697814941
332,6,5,12,0.262710303068161
333,6,4,7,0.26330244541168213
334,6,2,4,0.4053541123867035
335,6,5,18,0.3269208073616028
336,6,5,13,0.3186626732349396
337,6,5,9,0.39222490787506104
338,6,5,6,0.4957185685634613
339,7,1,10,0.4762600362300873
340,7,1,3,0.5124706625938416
341,7,8,3,0.6448954343795776
342,7,3,8,0.4595305025577545
343,7,1,20,0.3412220776081085
344,7,6,8,0.3237442374229431
345,7,3,6,0.6722303628921509
346,7,5,16,0.34266459941864014
347,7,1,5,0.6129611134529114
348,7,5,11,0.2579861879348755
349,7,8,10,0.2456500083208084
350,7,1,12,0.44051992893218994
351,7,5,13,0.2472420483827591
352,7,3,3,0.4040742814540863
353,7,5,14,0.3920176923274994
354,7,1,5,0.5673674941062927
355,7,3,6,0.5738370418548584
356,7,1,12,0.3541319668292999
357,7,5,10,0.24593830108642578
358,7,5,3,0.4135482907295227
359,8,2,6,0.5327346920967102
360,8,2,6,0.47299084067344666
361,8,2,10,0.3161633610725403
362,8,7,4,0.5562770366668701
363,8,2,4,0.49081265926361084
364,8,6,7,0.2951160669326782
365,8,6,4,0.6598179936408997
366,8,2,5,0.40300798416137695
367,8,1,9,0.5065523982048035
368,8,2,3,0.666946530342102
369,8,3,3,0.2853991687297821
370,8,6,17,0.31451186537742615
371,8,6,8,0.19130799174308777
372,8,6,7,0.7134093046188354
373,8,2,9,0.4251340925693512
374,8,2,6,0.5944269895553589
375,8,2,4,0.6402766108512878
376,8,3,4,0.47992125153541565
377,8,3,6,0.5946685671806335
378,9,8,6,0.5015766620635986
379,9,3,2,0.8696203231811523
380,9,8,2,0.7522854804992676
381,9,8,1,0.8120598196983337
382,9,4,3,0.6128008365631104
383,9,8,7,0.5129027962684631
384,9,3,1,0.8218302726745605
385,9,3,3,0.8566007614135742
386,9,8,6,0.5673799514770508
387,9,7,3,0.3672892451286316
388,9,8,7,0.7069293856620789
389,9,5,5,0.5506304502487183
390,9,8,7,0.4501897990703583
391,9,1,0,0.5861040353775024
392,9,7,8,0.4033479392528534
393,9,8,2,0.48999863862991333
394,9,8,10,0.4913201630115509
395,9,3,2,0.5886152386665344
396,9,5,6,0.4521560072898865
397,9,5,5,0.7621725797653198
398,0,6,9,0.5952782034873962
399,0,6,2,0.7183829545974731
400,0,4,8,0.6457569599151611
401,0,6,5,0.5510550737380981
402,0,6,8,0.518582284450531
403,0,4,3,0.810259222984314
404,0,4,9,0.51609206199646
405,0,6,7,0.593533992767334
406,0,6,10,0.5462357401847839
407,0,6,2,0.5106102228164673
408,0,6,8,0.7689153552055359
409,0,6,8,0.5560771822929382
410,0,6,10,0.5651410818099976
411,0,4,8,0.7746753692626953
412,0,6,6,0.5620591640472412
413,0,4,7,0.7818083167076111
414,0,6,10,0.49115097522735596
415,0,4,3,0.5397565364837646
416,0,6,12,0.45637252926826477
417,0,6,7,0.4727115035057068
418,1,2,1,0.27376386523246765
419,1,2,2,0.8863212466239929
420,1,7,7,0.5118440389633179
421,1,4,5,0.5665514469146729
422,1,5,4,0.3291178345680237
423,1,9,0,0.33716341853141785
424,1,7,7,0.4294522702693939
425,1,7,5,0.4920732080936432
426,1,7,4,0.5639358758926392
427,1,7,6,0.379640132188797
428,1,7,4,0.558971643447876
429,1,7,5,0.44349291920661926
430,1,7,13,0.23610758781433105
431,1,2,2,0.659449577331543
432,1,7,7,0.5917664766311646
433,1,4,4,0.3540845215320587
434,1,4,5,0.5575749278068542
435,1,7,2,0.543448805809021
436,1,7,5,0.8292262554168701
437,1,2,2,0.4641963839530945
438,1,7,2,0.7459238171577454
439,2,7,4,0.5847647190093994
440,2,0,1,0.28414928913116455
441,2,6,7,0.43647274374961853
442,2,7,9,0.5179190039634705
443,2,8,11,0.23379425704479218
444,2,1,6,0.4578273892402649
445,2,8,1,0.8196852207183838
446,2,6,12,0.26703113317489624
447,2,6,4,0.609752893447876
448,2,6,7,0.43526872992515564
449,2,6,8,0.4727206826210022
450,2,6,11,0.331051766872406
451,2,8,5,0.9042854905128479
452,2,6,3,0.6065983772277832
453,2,1,7,0.3825210928916931
454,2,9,2,0.4138834476470947
455,2,4,9,0.3526668846607208
456,2,1,7,0.8096835017204285
457,2,8,6,0.4879865050315857
458,3,9,3,0.8556748032569885
459,3,5,2,0.5134567618370056
460,3,5,5,0.39567068219184875
461,3,8,0,0.46812498569488525
462,3,7,8,0.6332573890686035
463,3,5,8,0.3780815899372101
464,3,7,11,0.46549472212791443
465,3,9,1,0.8051666617393494
466,3,8,16,0.4381031095981598
467,3,9,3,0.5804832577705383
468,3,7,2,0.6671044826507568
469,3,5,7,0.4105262756347656
470,3,7,4,0.6083067059516907
471,3,9,6,0.5157696604728699
472,3,8,4,0.7656677961349487
473,3,8,7,0.7036935091018677
474,3,8,7,0.5595811009407043
475,3,9,3,0.3390502631664276
476,3,7,5,0.47506988048553467
477,3,9,3,0.6730999946594238
478,4,9,6,0.5024163722991943
479,4,6,5,0.7345561981201172
480,4,7,5,0.8468732237815857
481,4,7,4,0.5695985555648804
482,4,6,6,0.7225052714347839
483,4,9,12,0.5103076100349426
484,4,7,4,0.6808436512947083
485,4,6,3,0.540956974029541
486,4,6,3,0.5519124865531921
487,4,1,3,0.8895606994628906
488,4,9,6,0.9326192736625671
489,4,7,1,0.5180167555809021
490,4,6,2,0.5061479210853577
491,4,6,5,0.5529489517211914
492,4,1,6,0.48220694065093994
493,4,0,2,0.46595513820648193
494,4,2,5,0.8512095808982849
495,4,7,5,0.4922246038913727
496,4,6,7,0.6207636594772339
497,4,7,6,0.5233612656593323
498,5,6,7,0.6752819418907166
499,5,6,3,0.5235174298286438
500,5,6,8,0.818604052066803
501,5,6,8,0.6838498711585999
502,5,3,6,0.5886896252632141
503,5,9,1,0.4565492570400238
504,5,5,99,0.4332607686519623
505,5,6,8,0.741293728351593
506,5,9,3,0.5348725318908691
507,5,5,99,0.4332607686519623
508,5,6,1,0.49545833468437195
509,5,3,2,0.7163329720497131
510,5,6,8,0.4897627830505371
511,5,6,4,0.6037383675575256
512,5,6,5,0.4504488408565521
513,5,8,0,0.843859076499939
514,5,9,3,0.869253933429718
515,5,3,3,0.8047754168510437
516,5,6,1,0.7351876497268677
517,5,6,3,0.5230376124382019
518,6,5,4,0.3960171043872833
519,6,0,12,0.704101026058197
520,6,0,5,0.8015100359916687
521,6,5,10,0.3477614223957062
522,6,4,9,0.6859220862388611
523,6,0,6,0.4602673053741455
524,6,0,5,0.4593796133995056
525,6,8,4,0.5929189920425415
526,6,4,22,0.6354990601539612
527,6,5,3,0.5813924074172974
528,6,4,21,0.5201942920684814
529,6,4,6,0.5952644944190979
530,6,5,14,0.32122063636779785
531,6,4,8,0.5451533198356628
532,6,0,12,0.3374699652194977
533,6,0,7,0.4434061646461487
534,6,4,13,0.5685354471206665
535,6,4,13,0.5359537601470947
536,6,4,2,0.5401947498321533
537,6,2,5,0.6871716380119324
538,7,1,13,0.49776437878608704
539,7,3,1,0.5576810240745544
540,7,9,6,0.3592677712440491
541,7,1,7,0.5210175514221191
542,7,4,10,0.5875389575958252
543,7,3,3,0.8714153170585632
544,7,1,5,0.5245487689971924
545,7,2,0,0.7936687469482422
546,7,1,5,0.7568812966346741
547,7,5,11,0.21934200823307037
548,7,1,12,0.35194337368011475
549,7,2,9,0.6689451336860657
550,7,4,7,0.561245858669281
551,7,1,7,0.5513443350791931
552,7,4,6,0.2960153818130493
553,7,3,2,0.6622008681297302
554,7,1,6,0.8035232424736023
555,7,6,7,0.23853516578674316
556,7,1,9,0.6087073087692261
557,7,5,9,0.26613491773605347
558,8,3,8,0.7233029007911682
559,8,3,6,0.24553759396076202
560,8,2,3,0.7375898957252502
561,8,6,5,0.3744325637817383
562,8,2,1,0.4872666895389557
563,8,9,6,0.4404368996620178
564,8,6,3,0.795893132686615
565,8,6,7,0.508611261844635
566,8,9,3,0.6565921306610107
567,8,9,2,0.8426692485809326
568,8,2,4,0.8090929985046387
569,8,2,4,0.8203610181808472
570,8,9,3,0.5235451459884644
571,8,2,9,0.2893207371234894
572,8,3,4,0.3846445381641388
573,8,2,2,0.5585983991622925
574,8,6,3,0.3915601670742035
575,8,6,10,0.29348674416542053
576,8,2,2,0.4768795967102051
577,8,6,5,0.5204657316207886
578,9,3,7,0.7539024949073792
579,9,8,11,0.4837546646595001
580,9,8,0,0.5350660085678101
581,9,8,3,0.7748346328735352
582,9,4,4,0.5644751191139221
583,9,3,6,0.6697965264320374
584,9,8,3,0.6931174993515015
585,9,4,6,0.46527472138404846
586,9,8,2,0.6667207479476929
587,9,3,1,0.5468204617500305
588,9,5,3,0.6585614085197449
589,9,8,3,0.6648516654968262
590,9,5,5,0.562625527381897
591,9,4,3,0.5253690481185913
592,9,4,3,0.7850219011306763
593,9,3,4,0.9162346124649048
594,9,5,4,0.6794370412826538
595,9,3,4,0.8231990933418274
596,9,3,3,0.6302489638328552
597,0,6,8,0.7883159518241882
598,0,6,11,0.4981062412261963
599,0,4,5,0.7117400765419006
600,0,6,9,0.4788123667240143
601,0,6,7,0.5400283336639404
602,0,6,13,0.5326743721961975
603,0,6,9,0.5844613313674927
604,0,4,7,0.7511311769485474
605,0,6,12,0.42286622524261475
606,0,6,10,0.5259020328521729
607,0,6,9,0.5417249798774719
608,0,6,6,0.7424181699752808
609,0,6,5,0.555084228515625
610,0,4,2,0.8705887198448181
611,0,6,8,0.5046327710151672
612,0,6,9,0.5140455961227417
613,0,6,12,0.5021100044250488
614,0,6,5,0.4726696312427521
615,0,6,5,0.4649346172809601
616,0,6,10,0.47420623898506165
617,1,4,1,0.6937346458435059
618,1,2,2,0.9599807858467102
619,1,9,5,0.40173667669296265
620,1,7,5,0.6393755078315735
621,1,4,2,0.5431891083717346
622,1,4,7,0.8270484209060669
623,1,8,8,0.724069356918335
624,1,7,5,0.6202515363693237
625,1,7,6,0.7472583055496216
626,1,4,4,0.6395147442817688
627,1,9,2,0.5430779457092285
628,1,7,2,0.5893773436546326
629,1,4,8,0.463728129863739
630,1,4,4,0.6914575695991516
631,1,7,8,0.22633077204227448
632,1,9,3,0.6293180584907532
633,1,2,1,0.8748242855072021
634,1,4,4,0.8512856364250183
635,1,7,9,0.21804694831371307
636,1,7,2,0.6328166723251343
637,1,8,1,0.3403910994529724
638,2,1,5,0.5854142308235168
639,2,3,4,0.7169472575187683
640,2,6,2,0.609869658946991
641,2,1,6,0.8117582201957703
642,2,8,15,0.365057110786438
643,2,6,13,0.47811341285705566
644,2,4,6,0.4253450930118561
645,2,1,4,0.6251401305198669
646,2,6,3,0.44268518686294556
647,2,8,4,0.45383337140083313
648,2,6,9,0.5715927481651306
649,2,8,8,0.8332312107086182
650,2,8,4,0.7891340851783752
651,2,6,2,0.513131856918335
652,2,7,5,0.7003583312034607
653,2,8,5,0.6833453178405762
654,2,6,6,0.7144368290901184
655,2,6,12,0.504356324672699
656,2,6,5,0.37215089797973633
657,2,8,4,0.8163462281227112
658,3,5,4,0.6747615337371826
659,3,9,5,0.6009687185287476
660,3,9,3,0.8076876401901245
661,3,5,5,0.6718524694442749
662,3,9,3,0.4587041437625885
663,3,7,5,0.642338216304779
664,3,9,3,0.8493831157684326
665,3,9,13,0.6052759885787964
666,3,8,2,0.9020569920539856
667,3,7,9,0.4147825837135315
668,3,8,4,0.8978819251060486
669,3,9,5,0.6987042427062988
670,3,9,6,0.6088463068008423
671,3,9,2,0.5640037655830383
672,3,8,2,0.49886947870254517
673,3,5,9,0.4391568899154663
674,3,9,6,0.6114795804023743
675,3,7,5,0.578792929649353
676,3,5,4,0.38082918524742126
677,4,9,10,0.7623763680458069
678,4,6,4,0.6330937743186951
679,4,9,5,0.7120913863182068
680,4,1,8,0.4076251983642578
681,4,6,5,0.526752233505249
682,4,6,1,0.35400593280792236
683,4,6,6,0.5029651522636414
684,4,6,3,0.7831868529319763
685,4,6,5,0.6372864842414856
686,4,1,3,0.7609640955924988
687,4,5,7,0.6391953825950623
688,4,6,3,0.6193093657493591
689,4,7,2,0.7514573931694031
690,4,6,10,0.686847984790802
691,4,6,2,0.7353681921958923
692,4,9,3,0.6436287760734558
693,4,6,6,0.6543238162994385
694,4,9,4,0.6996468901634216
695,4,6,6,0.710708737373352
696,4,2,2,0.5998005867004395
697,4,6,1,0.849208414554596
698,5,5,99,0.4332607686519623
699,5,3,4,0.7967381477355957
700,5,5,99,0.4332607686519623
701,5,6,12,0.5568493604660034
702,5,3,8,0.4810881018638611
703,5,6,3,0.5237811803817749
704,5,7,8,0.22348840534687042
705,5,9,2,0.8254809379577637
706,5,6,2,0.8084334135055542
707,5,3,4,0.7105973362922668
708,5,6,5,0.7219447493553162
709,5,6,4,0.5403537750244141
710,5,6,3,0.5096669793128967
711,5,3,7,0.7806859612464905
712,5,0,1,0.6046474575996399
713,5,6,8,0.6407773494720459
714,5,3,3,0.7678566575050354
715,5,6,2,0.7116119861602783
716,5,3,6,0.7556887269020081
717,6,5,8,0.36715760827064514
718,6,5,14,0.3252357840538025
719,6,4,4,0.7650508284568787
720,6,2,11,0.47995081543922424
721,6,5,14,0.35332608222961426
722,6,5,5,0.631941020488739
723,6,4,11,0.6959234476089478
724,6,5,8,0.25492700934410095
725,6,5,9,0.29699844121932983
726,6,5,8,0.28748205304145813
727,6,5,20,0.3219793438911438
728,6,0,11,0.5944973826408386
729,6,5,21,0.4032670557498932
730,6,4,13,0.6505139470100403
731,6,4,10,0.7082809209823608
732,6,4,5,0.5751833915710449
733,6,4,6,0.8688825964927673
734,6,4,10,0.7330484986305237
735,6,0,7,0.5684579610824585
736,6,5,14,0.2758180499076843
737,6,4,14,0.8763357996940613
738,7,4,2,0.9373579025268555
739,7,5,9,0.2580912709236145
740,7,6,4,0.45682260394096375
741,7,1,8,0.6046372056007385
742,7,1,8,0.8288587331771851
743,7,5,15,0.31469962000846863
744,7,6,10,0.3492419123649597
745,7,1,7,0.5149301290512085
746,7,5,18,0.23618178069591522
747,7,1,8,0.47272196412086487
748,7,2,2,0.5126931667327881
749,7,3,1,0.6508879661560059
750,7,1,4,0.8168033361434937
751,7,4,11,0.3429809808731079
752,7,1,5,0.6751565337181091
753,7,3,4,0.4586511254310608
754,7,9,13,0.40735283493995667
755,7,1,3,0.5001423358917236
756,7,9,7,0.33322423696517944
757,8,2,4,0.7717318534851074
758,8,9,5,0.38445845246315
759,8,3,11,0.34176895022392273
760,8,2,7,0.5536989569664001
761,8,3,4,0.5235756635665894
762,8,9,4,0.7872759699821472
763,8,6,2,0.7576423287391663
764,8,2,5,0.5466366410255432
765,8,2,6,0.5322919487953186
766,8,3,8,0.5610470175743103
767,8,9,5,0.7813095450401306
768,8,9,9,0.8333035111427307
769,8,2,5,0.5357891917228699
770,8,2,3,0.6309913396835327
771,8,3,5,0.3303603529930115
772,8,5,6,0.32986852526664734
773,8,9,6,0.38872772455215454
774,8,2,5,0.7025492191314697
775,8,6,9,0.3324965238571167
776,8,5,11,0.3295951187610626
777,9,5,9,0.5777250528335571
778,9,8,8,0.49840566515922546
779,9,4,3,0.4211620092391968
780,9,5,6,0.23219263553619385
781,9,5,4,0.6163715124130249
782,9,8,11,0.5745977163314819
783,9,3,6,0.5320223569869995
784,9,4,8,0.4378025233745575
785,9,8,3,0.5540720224380493
786,9,3,0,0.7471404671669006
787,9,8,7,0.5120369791984558
788,9,3,4,0.46190744638442993
789,9,4,5,0.5494939684867859
790,9,3,4,0.632848858833313
791,9,8,6,0.5845406651496887
792,9,8,7,0.6900579333305359
793,9,0,2,0.4900180995464325
794,9,4,2,0.7319364547729492
795,9,5,3,0.39429837465286255
796,0,6,7,0.6002716422080994
797,0,6,8,0.6340489387512207
798,0,6,10,0.5116768479347229
799,0,4,6,0.7139183282852173
800,0,6,5,0.6694796681404114
801,0,6,9,0.44676023721694946
802,0,6,9,0.528150737285614
803,0,6,15,0.45346689224243164
804,0,6,3,0.5882319211959839
805,0,6,6,0.5505812764167786
806,0,6,8,0.5839235186576843
807,0,1,6,0.21047499775886536
808,0,6,10,0.5146266222000122
809,0,6,10,0.5229268670082092
810,0,4,7,0.5937774777412415
811,0,6,7,0.5749653577804565
812,0,4,11,0.6953034400939941
813,0,6,8,0.5238915085792542
814,0,4,8,0.8087116479873657
815,0,6,10,0.4607801139354706
816,0,6,12,0.5443795323371887
817,0,6,5,0.5550199151039124
818,0,6,9,0.6024808883666992
819,0,6,8,0.4766741991043091
820,0,6,10,0.5373210310935974
821,0,6,8,0.5105364322662354
822,0,6,8,0.4947679340839386
823,0,6,9,0.645214319229126
